                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0718,                 3.9249,                 1.8064,                0.00291,                0.91667,                0.04546,                0.00816,                   1.71,                 3.9749,                 1.9685,                 0.0892,                 0.0012,                 0.0012
                      1,                 1.6769,                 3.6156,                 1.5326,                0.00301,                0.95833,                0.32695,                0.13691,                 1.5078,                 3.6475,                 1.3665,               0.077401,               0.002401,               0.002401
                      2,                 1.5046,                 2.9462,                 1.4187,                0.00346,                      1,                0.51237,                0.32311,                 1.1953,                 3.1325,                 1.1077,               0.065499,               0.003499,               0.003499
                      3,                 1.3792,                 2.2425,                 1.3205,                0.00339,                      1,                 0.4892,                  0.308,                 1.2146,                 2.8284,                 1.1369,               0.053494,              0.0044941,              0.0044941
                      4,                 1.3868,                  2.069,                  1.314,                0.00324,                      1,                0.50209,                 0.3044,                 1.2612,                 2.7569,                 1.0818,               0.041386,              0.0053862,              0.0053862
                      5,                 1.4043,                 1.7719,                 1.2637,                0.96386,                0.15789,                0.55833,                0.34824,                 1.3005,                 2.5636,                 1.1026,               0.029175,              0.0061754,              0.0061754
                      6,                 1.3529,                 1.6773,                 1.2578,                0.92521,                0.39474,                0.56482,                 0.3268,                 1.3313,                 2.2989,                 1.1983,               0.016862,              0.0068616,              0.0068616
                      7,                 1.3787,                 1.6852,                 1.2422,                0.37241,                0.46053,                0.57183,                0.34189,                 1.3177,                 2.1531,                 1.1182,               0.007228,               0.007228,               0.007228
                      8,                 1.3934,                  1.623,                 1.2529,                0.69147,                0.80773,                0.74262,                0.46446,                 1.3175,                 1.9483,                 1.1513,               0.007228,               0.007228,               0.007228
                      9,                 1.3356,                 1.5223,                 1.2099,                0.96224,                 0.4833,                0.87493,                0.52984,                 1.2954,                 1.6418,                 1.1438,               0.006832,               0.006832,               0.006832
                     10,                 1.3124,                 1.4466,                 1.2166,                0.52571,                0.86842,                0.74565,                0.41428,                 1.3704,                 2.5236,                 1.2237,               0.006436,               0.006436,               0.006436
                     11,                 1.3098,                 1.4679,                 1.2286,                0.54002,                0.97368,                0.80307,                0.51758,                 1.2138,                 1.9719,                 1.1248,                0.00604,                0.00604,                0.00604
                     12,                 1.2449,                 1.4659,                 1.1809,                0.84585,                0.86521,                0.94676,                0.65119,                 1.1403,                 1.2341,                 1.0839,               0.005644,               0.005644,               0.005644
                     13,                 1.2341,                 1.2792,                  1.166,                0.72573,                0.79251,                0.97963,                0.64432,                 1.1787,                  1.679,                 1.1206,               0.005248,               0.005248,               0.005248
                     14,                 1.2393,                  1.203,                  1.165,                0.93381,                0.96554,                0.99474,                0.64562,                 1.1924,                 1.1991,                 1.1514,               0.004852,               0.004852,               0.004852
                     15,                 1.1778,                 1.4293,                 1.1595,                0.94399,                0.93934,                0.98795,                0.63264,                  1.096,                 1.0498,                 1.0681,               0.004456,               0.004456,               0.004456
                     16,                 1.1492,                 1.3333,                 1.1354,                0.79175,                0.79167,                0.92079,                0.60357,                 1.0673,                 1.2089,                 1.0662,                0.00406,                0.00406,                0.00406
                     17,                 1.1925,                 1.2773,                 1.1494,                 0.9397,                0.92439,                0.99205,                  0.694,                 1.0549,                0.97522,                 1.0775,               0.003664,               0.003664,               0.003664
                     18,                  1.143,                 1.2464,                 1.1348,                0.90309,                      1,                0.98204,                0.63016,                 1.1856,                 1.0643,                 1.1332,               0.003268,               0.003268,               0.003268
                     19,                 1.1563,                 1.1649,                 1.1597,                0.92295,                0.92854,                  0.995,                0.61779,                 1.1584,                0.99462,                 1.1222,               0.002872,               0.002872,               0.002872
                     20,                 1.1311,                 1.1651,                 1.1202,                0.90583,                0.87707,                  0.987,                0.66148,                 1.1348,                0.93826,                  1.091,               0.002476,               0.002476,               0.002476
                     21,                 1.1282,                 1.1229,                 1.1255,                 0.8584,                0.93495,                 0.9724,                0.65805,                 1.1427,                0.94588,                 1.0918,                0.00208,                0.00208,                0.00208
                     22,                 1.1232,                 1.1039,                 1.1041,                0.83996,                0.94737,                0.97064,                0.67129,                 1.0804,                0.85789,                 1.0602,               0.001684,               0.001684,               0.001684
                     23,                 1.0821,                 1.0511,                 1.1101,                0.82394,                0.93727,                0.94241,                0.63851,                 1.1119,                0.87688,                 1.0793,               0.001288,               0.001288,               0.001288
                     24,                 1.0837,                 1.0005,                 1.1126,                0.80044,                0.93517,                 0.9191,                0.62862,                 1.0674,                0.89699,                 1.0627,               0.000892,               0.000892,               0.000892
